GRUPO,LAB,DESCLAB,MEDICAMENTO,DESCRIÇÃO,CODBARRAS,ESTOQUE,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01
GENERICOS,99,EUROFARMA                     ,215837,ACEBROFILINA - 25MG/5ML XPE 120ML INF,7891317002688,1,0,2,4,5,0,4,2,0,3,1,1,1,0,2,2,0,16,14,3,2,5,0,1,1,0,2,2,3,8,1,0,2,5,2,0,1,0,0,0,2,2,0,0,1,0,1,0,1,0,1,2,2,3,2,0,2,1,1,0,0
GENERICOS,314,MEDLEY                        ,222017,ACEBROFILINA - 50MG XPE FR 120ML+DOS,7896422509244,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,4,1,1,2,1,0,0,3,0,0,0,3,4,3,4,8,6,9,7,7,1,2,1,6,3,1,3,0,4,0,2,4,2,3,7,2,9,5,5,9,4,5,2,5,0,5
GENERICOS,380,RANBAXY                       ,216934,ACECLOFENACO - 100MG CX 12 COMP,7897076909312,3,0,1,5,2,0,3,2,0,1,1,2,1,4,4,5,1,0,0,0,0,0,0,0,0,3,1,0,4,7,1,3,6,4,4,1,3,3,2,5,4,6,2,2,3,2,4,1,2,5,5,5,3,11,14,12,6,6,2,4,7
GENERICOS,438,GENERICOS GERMED              ,227406,ACETATO DE DEXAMETASONA - 1MG CREME DERM BG 10G,7896004721897,2,0,0,3,0,0,0,1,4,0,0,4,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,99,EUROFARMA                     ,215862,ACETILCISTEINA - 100MG 16 SACHES X 5G,7891317001056,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,3,0,0,2,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,2,0,0,1,0,1,1,2,2,1,4,0,1,0,0
GENERICOS,99,EUROFARMA                     ,215864,ACETILCISTEINA - 200MG 16 SACHES X 5G,7891317001063,5,1,1,4,2,0,2,0,4,0,0,0,0,0,0,4,0,0,1,0,0,2,4,1,3,0,2,2,0,4,1,4,4,1,3,1,2,0,1,0,2,1,1,1,1,2,1,1,0,0,3,4,3,1,0,5,3,1,1,2,2
GENERICOS,466,EMS GENÉRICO                    ,221138,ACETILCISTEINA - 200MG CX 16 ENV X 5G,7896004708706,1,0,0,1,0,1,1,0,1,0,2,1,0,1,7,2,0,1,0,5,0,5,1,1,2,0,0,0,1,1,1,1,2,2,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,99,EUROFARMA                     ,215078,ACETILCISTEINA - 20MG XPE FR 100ML,7891317001940,2,0,0,3,0,1,0,0,1,1,1,0,0,0,1,1,0,4,0,1,1,1,1,0,2,3,5,3,7,2,6,3,6,7,5,2,1,1,3,4,2,5,3,6,10,5,5,7,1,2,3,3,6,15,12,0,0,6,1,3,2
GENERICOS,99,EUROFARMA                     ,215079,ACETILCISTEINA - 20MG XPE FR 150ML,7891317002176,3,3,2,5,5,0,3,2,5,1,2,1,3,0,0,3,0,12,10,3,4,3,1,4,1,1,2,4,7,12,9,9,7,8,8,0,1,1,3,2,2,9,3,4,9,3,4,2,1,2,6,2,4,5,10,6,4,5,3,1,1
GENERICOS,466,EMS GENÉRICO                    ,223684,ACETILCISTEINA - 40MG XPE FR 120ML ADU,7896004713366,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,6,1,4,4,0,0,6,7,4,1,0,0,0,5,3,2,6,7,3,3,2,0,5,4,1,3,3,5,0,3,3,1,1,0,4
GENERICOS,99,EUROFARMA                     ,215865,ACETILCISTEINA - 600MG 16 SACHES X 5G,7891317001070,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,3,3,0,1,1,0,2,12,5,9,9,10,15,23,8,0,9,5,2,5,5,5,4,1,6,8,3,2,3,14,5,6,17,12,11,10,20,2,0,9,10,7,3
GENERICOS,466,EMS GENÉRICO                    ,223685,ACETILCISTEINA - 600MG GRAN 16 ENV X 5G,7896004713342,0,3,3,5,6,3,10,11,4,10,5,6,0,3,5,6,3,7,8,8,14,3,4,0,3,1,2,0,6,0,6,3,1,9,4,2,6,0,0,0,5,5,6,3,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,4,ACHE                          ,225598,ACHEFLAN - 5MG AER FR 75ML,7896658006920,1,2,2,2,3,2,3,1,3,4,3,2,0,4,2,2,1,5,4,1,1,1,5,1,2,2,6,6,5,6,4,2,7,3,4,6,2,2,0,4,3,5,2,3,2,3,3,6,1,3,4,2,1,1,2,1,4,2,4,4,6
TARJADO,4,ACHE                          ,222899,ACHEFLAN - CREME BG 30G,7896658006432,2,4,3,0,3,1,2,1,5,5,2,1,2,3,1,6,2,4,2,11,5,3,2,3,3,10,9,9,7,5,4,18,10,9,12,5,5,11,7,9,11,10,8,9,8,7,12,11,8,13,10,16,17,18,12,14,15,14,14,15,10
TARJADO,4,ACHE                          ,228840,ACHEFLAN - CREME BG 60G,7896658007170,3,8,2,8,6,4,10,6,5,5,1,5,2,11,11,9,3,10,3,3,8,8,4,3,5,3,5,4,10,5,8,9,14,4,9,8,7,6,8,7,8,11,11,7,7,11,13,14,7,10,11,12,7,3,8,10,9,6,5,12,5
GENERICOS,30,BIOSINTETICA,231900,ACICLOVIR - 200MG BL 25 COMP,7896181918189,3,3,3,4,1,0,2,2,0,1,0,0,0,4,1,1,0,8,5,5,4,1,1,4,2,1,3,2,0,3,1,4,7,1,4,0,8,0,0,0,2,5,6,8,4,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,161,SANDOZ                        ,216754,ACICLOVIR - 200MG CX 25 COMP,7897595602626,6,4,0,2,0,0,1,2,3,1,4,2,5,1,3,3,1,3,1,3,2,2,4,1,1,1,3,5,5,4,14,10,8,6,8,8,5,1,2,5,2,0,0,0,1,3,0,3,2,0,0,0,0,0,0,0,0,0,3,0,4
GENERICOS,126,MERCK                         ,216952,ACICLOVIR - 400MG FR 30 COMP,7891721023484,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,1,0,0,0,0,0,0,0,0,4,2,2,1,0,3,1,1,1,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,466,EMS GENÉRICO                    ,211233,ACICLOVIR - CREME BG 10G,7896004715933,2,4,1,2,1,1,3,1,2,0,0,0,1,15,7,2,0,5,1,7,4,10,6,10,4,5,0,3,4,7,3,7,8,12,9,12,8,1,2,5,5,0,0,4,1,1,1,2,1,6,5,5,5,2,3,5,2,1,3,4,2
GENERICOS,314,MEDLEY                        ,214674,ACICLOVIR - CREME DERM BG 10G,7896422505741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,9,9,0,0,0,0,0,12,6,9,3,5,2,10,12,1,7,1,0,5,3,5,5,10,7,14,8,9,8,9,2,6,8,18,8,9,14,15,9,9,11,12,10
GENERICOS,466,EMS GENÉRICO                    ,222054,ACIDO ACETILSALICILICO - 100MG  30 COMP,7896004710891,15,5,14,4,16,0,10,5,10,4,15,6,4,16,10,14,2,9,16,4,15,19,9,7,7,11,24,18,27,22,23,17,21,18,18,19,11,21,28,26,15,36,24,39,21,18,17,22,17,14,6,14,7,13,15,18,20,34,10,15,26
GENERICOS,466,EMS GENÉRICO                    ,222055,ACIDO ACETILSALICILICO (FRACAO) - INF 100MG CX 200 COMP,7896004710907,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,1,1,1,0,0,0,8,3,4,9,14,16,4,4,5,4,1,18,0,0,0,0,0,0,0,0,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,314,MEDLEY                        ,228569,ACIDO MEFENAMICO - 500MG CX 24 COMP,7896422517195,2,2,0,0,1,1,0,1,0,1,1,0,3,1,1,2,0,1,2,2,2,3,3,0,2,1,3,4,5,3,4,5,4,1,3,5,1,4,2,3,0,6,1,5,3,2,4,1,2,2,1,0,1,1,2,2,3,2,3,3,1
GENERICOS,466,EMS GENÉRICO                    ,232257,ACIDO TRANEXAMICO - 250MG CX 1BL X 12 COMP,7896004723020,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,209,FARMOQUIMICA                  ,1015,"ACTIFEDRIN - 6+0,25MG XPE FR 100ML",7898040320799,1,0,0,2,2,0,0,2,6,5,1,4,1,0,2,3,1,5,10,1,3,2,2,0,1,3,4,2,12,13,14,9,12,11,10,7,0,5,1,5,5,9,7,7,1,8,4,2,7,5,3,8,0,9,7,4,11,5,7,3,5
TARJADO,99,EUROFARMA                     ,237680,"ACTIVELLE - 1+0,5 MG C/ 28 COMP",7891317480738,1,1,1,2,0,0,1,2,0,0,0,0,1,2,0,2,0,1,1,1,0,2,0,0,2,0,0,1,1,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TARJADO,492,SANOFI-AVENTIS                ,230286,ACTONEL UMA VEZ AO MES - 1 CPR 150MG,7891058004217,2,1,0,1,1,0,0,0,0,0,0,0,0,2,3,1,0,2,3,4,2,2,2,1,0,3,2,3,1,3,4,0,2,1,1,2,1,1,2,4,1,2,4,1,2,1,0,3,4,0,4,1,2,2,1,0,2,1,2,2,1
DERMOCOSMETICOS,209,FARMOQUIMICA                  ,244276,ACTSUN FPS 30 120ML LOCAO - BLOQUEADOR SOLAR CORPO,7898040323301,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERMOCOSMETICOS,209,FARMOQUIMICA                  ,241636,ACTSUN FPS 30 60ML - BLOQUEADOR SOLAR FACIAL ,7898040323318,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DERMOCOSMETICOS,209,FARMOQUIMICA                  ,241638,ACTSUN FPS 60 COLOR 60ML - BLOQUEADOR FACIAL,7898040323295,1,0,2,0,2,0,1,0,0,1,1,1,1,2,1,3,1,1,1,1,3,1,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,317,ALLERGAN                      ,226819,"ACULAR - LS 0,40% FR 10ML",7897316804742,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,0,0,0,0,1,5,10,5,9,9,8,8,5,7,6,2,6,7,10,8,7,7,3,8,5,7,6,1,14,9,9,10,11,9,7,7,11,4,3,5
SEM TARJA,924,BIOLAB,239702,AD MUC POM 10G - AD MUC POM 10G,7896112452461,0,0,0,2,0,1,1,1,0,1,0,0,1,0,2,0,1,1,2,1,0,0,1,1,1,0,2,2,5,2,1,2,2,1,1,0,2,0,2,2,3,2,0,0,0,0,0,2,2,0,3,2,2,2,0,2,1,2,1,1,0
TARJADO,109,GLENMARK                      ,239074,"ADACNE CLIN - 0,1+1% GEL DERM BG 30G",7897473201798,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,3,1,4,4,6,2,0,0,0,2,1,1,2,3,1,0,0,2,2,1,1,0,3,10,14,0,2,6,10,0,2,4,2,1,0
TARJADO,109,GLENMARK                      ,232028,ADACNE CLIN GEL 45G - ADACNE CLIN GEL 45G,7897473205741,1,1,1,0,2,0,1,1,1,0,2,1,2,1,0,2,2,0,2,4,3,1,1,0,2,0,0,0,0,0,0,0,1,4,1,2,3,0,2,0,1,0,1,0,0,0,1,0,0,0,0,2,0,2,2,0,2,1,1,2,0
TARJADO,166,BAYER SCHERING                      ,229272,ADALAT - OROS 30MG CX 30 COMP,7891106903936,3,5,4,2,3,1,3,6,4,4,5,2,3,2,3,3,0,3,3,5,1,3,2,3,4,3,2,2,2,3,4,4,3,2,3,1,3,2,2,3,2,2,1,0,1,0,1,1,2,4,2,1,2,0,0,0,0,0,0,1,2
TARJADO,166,BAYER SCHERING                      ,229273,ADALAT - OROS 60MG CX 30 COMP,7891106903943,3,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,2,2,1,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
TARJADO,166,BAYER SCHERING                      ,205231,ADALAT - RETARD 10MG FR 30 COMP,7891106001588,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,2,0,0,1,0,0,2,2,0,2,1,0,0,0,0,0,1,2,2,0,1,0,1,0
TARJADO,166,BAYER SCHERING                      ,96350,ADALAT - RETARD 20MG FR 30 COMP,7891106000925,2,3,1,4,2,2,3,5,6,4,2,3,4,1,2,1,1,3,2,4,4,2,4,2,2,2,2,2,2,2,2,4,3,0,2,1,4,1,2,2,1,2,3,0,5,2,2,3,3,0,0,0,1,1,2,3,2,2,1,2,2
GENERICOS,314,MEDLEY                        ,226440,ADAPALENO - 1MG GEL BG 30G,7896422515122,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,3,0,0,4,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,3,2,0,0,0,0,1,2,0,2,4,0,0,0,0,0,0,2,4,1,1,1,2,1
GENERICOS,30,BIOSINTETICA,223028,ADAPALENO - 1MG GEL DERM BG 30G,7896181911432,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,4,3,1,2,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,3,1,2,4,0,2,0,0,0,0,0,1
TARJADO,4,MEDLEY FARMA,231596,ADAPEL - 1MG GEL BG 20G,7896422518321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,2,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,1,0
SEM TARJA,461,COSMED                        ,231581,ADDERA D3 - SOL OR FR GTS 10ML,7897322707617,5,10,3,14,7,3,10,5,9,8,9,7,8,20,23,22,5,16,25,20,16,16,9,9,9,14,23,14,17,32,14,24,16,28,22,24,11,19,8,18,24,12,11,17,16,22,18,19,8,10,12,14,7,13,12,15,17,14,21,12,10
SEM TARJA,84,GROSS                         ,240472,ADEFORTE - CX 60 CAP,7890282801081,12,5,10,9,9,4,12,6,14,12,9,7,7,3,3,5,2,3,4,4,1,6,11,12,8,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM TARJA,84,GROSS                         ,211766,ADEFORTE - SOL OR FR GTS 15ML,7890282800022,2,0,1,1,2,0,2,1,1,1,1,3,0,1,1,1,1,3,2,1,2,0,2,4,1,1,2,3,3,2,0,0,1,3,1,0,4,2,0,1,0,2,1,1,4,3,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0
SEM TARJA,84,GROSS                         ,211767,ADEFORTE - SOL ORAL 1AMP X 3ML,7890282800015,11,1,2,0,7,0,1,2,6,0,0,2,1,0,0,2,1,2,2,5,20,1,2,1,23,0,6,0,6,0,3,1,6,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0
SEM TARJA,492,SANOFI-AVENTIS                ,1171,ADEROGIL D3 - 5500+2200UI SOL OR FR GTS 10ML,7896185955005,5,4,0,2,2,0,5,0,0,0,0,0,0,8,8,7,1,7,4,3,2,5,6,2,4,6,12,12,19,5,9,11,9,9,9,12,3,3,8,5,2,6,8,7,10,8,8,6,3,12,4,10,9,9,5,6,4,1,4,4,2
TARJADO,4,ACHE                          ,230338,ADINOS - 5MG GEL BG 30G,7896658002960,5,7,1,8,2,0,6,5,7,7,6,6,2,1,6,8,1,3,5,4,4,6,6,5,2,1,3,3,5,3,5,8,4,5,5,6,2,3,3,2,2,0,1,1,5,2,3,5,2,1,2,0,3,2,1,1,1,1,0,0,1
TARJADO,4,ACHE                          ,239790,"ADINOS GEN - 0,5+1,00MG CREM GEL BG 30G",7896658011412,0,2,0,2,0,0,1,2,2,2,0,0,2,0,0,0,1,1,2,1,1,2,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,209,FARMOQUIMICA                  ,218912,"ADOLESS - 0,060+0,015MG CX 28 COMP",7898040320683,4,2,3,3,5,2,3,4,5,1,4,1,2,3,6,4,1,5,3,2,3,6,4,4,4,3,4,3,6,4,4,6,5,9,6,7,6,2,5,5,5,3,2,4,2,3,2,3,3,4,3,2,3,6,4,3,4,3,4,2,8
TARJADO,39,TAKEDA,235255,AD-TIL - SOL FR 20ML,7896641808609,2,4,3,5,1,3,6,4,2,0,1,4,6,7,9,2,3,3,3,7,3,4,2,3,3,6,15,14,10,12,9,9,7,10,8,5,3,0,0,0,0,0,0,7,20,16,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,21,BAYER                         ,235736,"ADVANTAN - 0,1% CREME DERM BG 15G",7795320050127,3,3,3,3,5,1,5,1,6,5,4,10,2,3,10,1,1,6,5,6,6,8,10,6,3,6,5,4,5,13,7,6,6,8,6,11,6,4,6,13,1,11,13,4,4,7,6,3,7,1,4,5,6,8,8,1,5,6,3,5,0
SEM TARJA,10,WYETH CONSUMER                ,228243,ADVIL - 400MG CX 8 CAP,7891045040426,8,37,28,36,25,5,34,33,15,0,0,0,0,35,22,31,10,31,38,42,43,36,34,32,46,9,25,16,26,40,21,37,31,25,31,42,31,16,22,32,25,35,13,37,17,0,0,2,18,12,17,16,14,15,25,29,20,20,23,13,19
SEM TARJA,10,WYETH CONSUMER                ,228244,ADVIL (FRAÇÃO) - 400MG CX 12BL X 3 CAP,7891045040587,2,23,20,13,21,12,14,1,14,18,25,30,27,25,29,32,6,31,22,1,22,15,22,16,14,54,27,13,39,28,10,17,42,28,29,38,38,3,23,21,10,21,60,26,48,8,0,4,7,13,6,16,11,14,18,20,28,19,17,13,16
TARJADO,83,GLAXOSMITHKLINE               ,1430,AEROFLUX - 2+100MG/5ML SOL EDUL FR 120ML,7896269900013,2,1,0,0,2,0,0,0,1,0,0,0,0,2,3,4,3,4,4,1,0,4,1,1,0,1,0,2,2,7,15,11,5,9,8,4,2,2,1,3,2,6,6,1,5,4,5,0,2,3,3,6,7,10,5,4,7,2,1,0,1
TARJADO,83,GLAXOSMITHKLINE               ,211756,AEROLIN - 100MCG SOL SPRAY 200 DOS 134-A,7896269900150,1,3,2,6,5,2,9,3,10,2,3,1,2,1,1,1,1,3,4,3,0,4,2,0,0,5,5,1,5,7,5,6,6,2,4,3,2,3,3,3,2,1,4,4,2,1,4,4,4,8,4,7,4,13,7,5,10,2,2,11,2
TARJADO,83,GLAXOSMITHKLINE               ,211757,AEROLIN - 2MG/5ML XPE FR 120ML SUGAR FREE,7896269900075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,3,2,1,1,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0
TARJADO,83,GLAXOSMITHKLINE               ,207214,AEROLIN - 5MG SOL NEB NAS FR 10ML,7896269900068,8,3,3,11,18,2,9,1,0,0,3,2,3,0,0,1,6,8,6,2,2,8,7,4,2,0,0,0,3,8,4,8,7,2,5,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
