CODBARRAS,NOME,APRES,DESCRICAO,Código,Qtde.Est., Vlr.Mínimo , Valor Fracão , Vlr.Máximo ,CÓDIGO2,PRINCIPIOATIVO,Portaria Controlados ANS,GENERICO, Vlr. Balcão , Vlr.Compra ,Laboratório,Frac.,IPI,NEGPOS,GRUPOS,CODNBMSH,RETEMPISCOFINS,PCIVA,DESC LAB,EST MIN
7894164000388,ABCLER,10+50+100mg/ml sol or cx 60flac x 10ml,ABCLER - 10+50+100mg/ml sol or cx 60flac x 10ml,000235243,0, 98.04 ,130.39, 130.39 ,,CITRATO DE COLINA+METIONINA+BETAINA,NA,N, 110.83 , 83.28 ,000535,1,0,-,INJETAVEL,0,S, -   ,AIRELA,0
7894164004904,ABCLER,10+50+100mg/ml sol or fr 120ml+cop,ABCLER - 10+50+100mg/ml sol or fr 120ml+cop,000235246,0, 17.54 ,23.33, 23.33 ,,CITRATO DE COLINA+METIONINA+BETAINA,NA,N, 19.83 , 16.07 ,000535,1,0,-,NENHUM,0,S, -   ,AIRELA,0
7898906376489,ABELCET,5 mg/ml sus inj iv 1fa x20 ml agu 5,ABELCET - 5 mg/ml sus inj iv 1fa x20 ml agu 5,000241121,0, 2304.38 ,0, -   ,,ANFOTERICINA B,NA,N, -   , -   ,000500,1,0,+,NENHUM,0,S, 38.24 ,TEVA,0
7896016806322,ABILIFY,10mg cx 10 comp,ABILIFY - 10mg cx 10 comp,000225253,0, 155.3 ,214.68, 214.68 ,,ARIPRIPAZOL,C1,N, 182.48 , 138.16 ,000017,1,0,+,PSICOTROPICO,30049069,N, 38.24 ,B-MS,1
7896016806001,ABILIFY,15mg cx 30 comp,ABILIFY - 15mg cx 30 comp,000218551,0, 698.86 ,966.08, 966.08 ,,ARIPRIPAZOL,C1,N, 821.17 , 542.25 ,000017,1,0,+,PSICOTROPICO,30049069,N, 38.24 ,B-MS,0
7896241225530,ABLOK,100mg cx 30 comp,ABLOK - 100mg cx 30 comp,000211600,2, 25.31 ,34.99, 34.99 ,,ATENOLOL,NA,N, 24.49 , 21.2 ,000163,1,0,+,TARJADO,30049042,N, 38.24 ,BIOLAB SANUS,1
7896241221853,ABLOK,25mg cx 30 comp,ABLOK - 25mg cx 30 comp,000239701,3, 9.86 ,13.62, 13.62 ,,ATENOLOL,NA,N, 10.94 , 9.17 ,000163,1,0,+,TARJADO,30049042,N, 38.24 ,BIOLAB SANUS,0
7896241225523,ABLOK,50mg cx 30 comp,ABLOK - 50mg cx 30 comp,000211599,2, 15.48 ,21.39, 21.39 ,,ATENOLOL,NA,N, 16.65 , 14.52 ,000163,1,0,+,TARJADO,30049042,N, 38.24 ,BIOLAB SANUS,1
7896241225547,ABLOK PLUS,100+25mg cx 30 comp,ABLOK PLUS - 100+25mg cx 30 comp,000211602,3, 32.98 ,45.59, 45.59 ,,ATENOLOL+CLORTALIDONA,NA,N, 33.73 , 30.66 ,000163,1,0,+,TARJADO,30049042,N, 38.24 ,BIOLAB SANUS,0
7896241225257,ABLOK PLUS,"25+12,5mg cx 30 comp","ABLOK PLUS - 25+12,5mg cx 30 comp",000226712,7, 11.07 ,15.32, 15.32 ,,ATENOLOL+CLORTALIDONA,NA,N, 11.4 , 10.38 ,000163,1,0,+,TARJADO,30049042,N, 38.24 ,BIOLAB SANUS,1
7896241225127,ABLOK PLUS,"50+12,5mg cx 30 comp","ABLOK PLUS - 50+12,5mg cx 30 comp",000211601,2, 20.44 ,28.26, 28.26 ,,ATENOLOL+CLORTALIDONA,NA,N, 21.94 , 19.17 ,000163,1,0,+,TARJADO,30049042,N, 38.24 ,BIOLAB SANUS,1
7896112411437,ABLOK PLUS,100+25mg cx 60 comp,ABLOK PLUS - 100+25mg cx 60 comp,000243369,2, 65.95 ,91.16, 91.16 ,,ATENOLOL+CLORTALIDONA,NA,N, 68.52 , 62.92 ,000163,1,0,+,TARJADO,30049042,N, -   ,BIOLAB SANUS,0
7896112411529,ABLOK PLUS,"25+12,5mg cx 60 comp","ABLOK PLUS - 25+12,5mg cx 60 comp",000243654,4, 22.13 ,30.6, 30.6 ,,ATENOLOL+CLORTALIDONA,NA,N, 38.67 , 20.75 ,000163,1,0,+,TARJADO,30049042,N, -   ,BIOLAB SANUS,0
7896112411512,ABLOK PLUS,"50+12,5mg cx 60 comp","ABLOK PLUS - 50+12,5mg cx 60 comp",000243367,2, 40.89 ,56.53, 56.53 ,,ATENOLOL+CLORTALIDONA,NA,N, 45.4 , 38.35 ,000163,1,0,+,TARJADO,30049042,N, -   ,BIOLAB SANUS,0
7896112419761,ABLOK PLUS,"50+12,5mg cx 90 comp","ABLOK PLUS - 50+12,5mg cx 90 comp",000243371,0, 61.33 ,84.78, 84.78 ,,ATENOLOL+CLORTALIDONA,NA,N, 72.06 , 57.67 ,000163,1,0,+,NENHUM,0,N, -   ,BIOLAB SANUS,0
7896112419778,ABLOK PLUS,100+25mg cx 90 comp,ABLOK PLUS - 100+25mg cx 90 comp,000243373,0, 98.93 ,136.76, 136.76 ,,ATENOLOL+CLORTALIDONA,NA,N, 72.86 , 62.01 ,000163,1,0,+,NENHUM,0,N, -   ,BIOLAB SANUS,0
7898040322878,ABRILAR,7mg/ml sol oral cx 21 env x 5ml,ABRILAR - 7mg/ml sol oral cx 21 env x 5ml,000240317,0, 30.69 ,40.82, 40.82 ,,EXTRATO SECO DE HEDERA HELIX,NA,N, 30.04 , 27.31 ,000209,1,0,-,TARJADO,30049039,N, -   ,FARMOQUIMICA,0
7898040321642,ABRILAR,"65mg po efv 10 saches x 3,4g","ABRILAR - 65mg po efv 10 saches x 3,4g",000224473,0, 29.22 ,38.86, 38.86 ,,EXTRATO SECO DE HEDERA HELIX,NA,N, 33.03 , 29.3 ,000209,1,0,-,TARJADO,30049029,N, 33.00 ,FARMOQUIMICA,0
7898040320973,ABRILAR,7mg xpe fr 100ml+cm,ABRILAR - 7mg xpe fr 100ml+cm,000218911,22, 28.34 ,37.69, 37.69 ,,EXTRATO SECO DE HEDERA HELIX,NA,N, 30.38 , 26.93 ,000209,1,0,-,TARJADO,30049099,N, 38.24 ,FARMOQUIMICA,1
7898040321970,ABRILAR,7mg xpe fr 200ml+cm,ABRILAR - 7mg xpe fr 200ml+cm,000228022,9, 47.23 ,62.81, 62.81 ,,EXTRATO SECO DE HEDERA HELIX,NA,N, 48.82 , 44.88 ,000209,1,0,-,TARJADO,30049099,N, 33.00 ,FARMOQUIMICA,0
7894916145633,ACIDO FUSIDICO+VAL BETAMETASONA,20+1mg creme derm bg 15g,ACIDO FUSIDICO+VAL BETAMETASONA - 20+1mg creme derm bg 15g,000230795,0, 30.36 ,40.38, 40.38 ,,ACIDO FUSIDICO+VAL BETAMETASONA,NA,S, 26.25 , 23.7 ,000462,1,0,-,GENERICOS,0,S, 33.00 ,LEGRAND GENERICOS,0
7896181900191,ACARSAN,25% sol fr 80ml,ACARSAN - 25% sol fr 80ml,000075019,0, 7.57 ,10.07, 10.07 ,,BENZOATO DE BENZILA+ACIDO ESTEARICO,NA,N, 7.75 , 7.05 ,000030,1,0,-,SEM TARJA,30049021,N, 38.24 ,BIOSINTETICA,0
7896658000010,ACCUVIT,cx 30 comp rev,ACCUVIT - cx 30 comp rev,000205468,1, 62.91 ,83.67, 83.67 ,,ACETILCISTEINA+BETACAROTENO+RIBOFLAVINA,NA,N, 68.32 , 61.54 ,000004,1,0,-,SEM TARJA,30045090,N, 38.24 ,ACHE,0
7896523209111,ACEBROFILINA,10mg/ml xpe fr 120ml+cm,ACEBROFILINA - 10mg/ml xpe fr 120ml+cm,000231198,0, 10.53 ,14.56, 14.56 ,,ACEBROFILINA,NA,S, 9.46 , 13.67 ,000048,1,0,+,GENERICOS,0,S, 33.00 ,CIMED,0
7896523209128,ACEBROFILINA,5mg/ml xpe fr 120ml+cm,ACEBROFILINA - 5mg/ml xpe fr 120ml+cm,000231199,0, 9.89 ,13.67, 13.67 ,,ACEBROFILINA,NA,S, 8.89 , 9.84 ,000048,1,0,+,GENERICOS,0,S, 33.00 ,CIMED,0
7896714214146,ACEBROFILINA,10mg xpe fr 120ml adu,ACEBROFILINA - 10mg xpe fr 120ml adu,000223736,0, 16.59 ,22.93, 22.93 ,,ACEBROFILINA,NA,S, 14.9 , 13.11 ,000133,1,0,+,GENERICOS,30049039,N, 38.24 ,NEO QUIMICA,0
7896422509244,ACEBROFILINA,10mg xpe fr 120ml+dos,ACEBROFILINA - 10mg xpe fr 120ml+dos,000222017,0, 17.26 ,23.86, 23.86 ,,ACEBROFILINA,NA,S, 15.51 , 8.45 ,000314,1,0,+,GENERICOS,30039049,N, 38.24 ,MEDLEY,0
7898148292851,ACEBROFILINA,10mg/ml xpe fr 120ml+cm,ACEBROFILINA - 10mg/ml xpe fr 120ml+cm,000226116,0, 16.58 ,22.92, 22.92 ,,ACEBROFILINA,NA,S, 14.9 , 14.77 ,000387,1,0,+,GENERICOS,30044090,N, 38.24 ,"PRATI, DONADUZZI",0
7896004710464,ACEBROFILINA,25mg fr 120ml+cm,ACEBROFILINA - 25mg fr 120ml+cm,000221135,0, 12.25 ,16.93, 16.93 ,,ACEBROFILINA,NA,S, 11.00 , 4.38 ,000466,1,0,+,GENERICOS,30049099,N, 33.00 ,EMS GENERICO,0
7894916140492,ACEBROFILINA,25mg xpe fr 120ml,ACEBROFILINA - 25mg xpe fr 120ml,000222147,0, 13.1 ,18.11, 18.11 ,,ACEBROFILINA,NA,S, 11.77 , 10.36 ,000462,1,0,+,GENERICOS,3004909901,N, 38.24 ,LEGRAND GENERICOS,0
7896004710488,ACEBROFILINA,25mg/5ml xpe fr 120ml,ACEBROFILINA - 25mg/5ml xpe fr 120ml,000221811,0, 12.42 ,17.17, 17.17 ,,ACEBROFILINA,NA,S, 11.16 , 9.82 ,000438,1,0,+,GENERICOS,30049099,N, 38.24 ,GENERICOS GERMED,0
7891317002688,ACEBROFILINA,5mg/ml xpe fr 120ml +cm,ACEBROFILINA - 5mg/ml xpe fr 120ml +cm,000215837,1, 12.26 ,16.95, 16.95 ,,ACEBROFILINA,NA,S, 11.02 , 4.37 ,000099,1,0,+,GENERICOS,30049039,N, 33.00 ,EUROFARMA,0
7896004710471,ACEBROFILINA,50mg fr 120ml+cm,ACEBROFILINA - 50mg fr 120ml+cm,000221136,3, 17.28 ,23.89, 23.89 ,,ACEBROFILINA,NA,S, 15.53 , 6.17 ,000466,1,0,+,GENERICOS,30049099,N, 33.00 ,EMS GENERICO,0
7894916140485,ACEBROFILINA,50mg xpe fr 120ml,ACEBROFILINA - 50mg xpe fr 120ml,000221665,0, 16.83 ,23.27, 23.27 ,,ACEBROFILINA,NA,S, 15.13 , 13.3 ,000462,1,0,+,GENERICOS,3004909901,N, 38.24 ,LEGRAND GENERICOS,0
7896004710495,ACEBROFILINA,50 mg xpe fr 120ml,ACEBROFILINA - 50 mg xpe fr 120ml,000221812,0, 16.92 ,23.39, 23.39 ,,ACEBROFILINA,NA,S, 15.2 , 13.38 ,000438,1,0,+,GENERICOS,0,S, 38.24 ,GENERICOS GERMED,0
7891317002695,ACEBROFILINA,10mg/ml xpe fr 120ml +cm,ACEBROFILINA - 10mg/ml xpe fr 120ml +cm,000215839,0, 17.29 ,23.91, 23.91 ,,ACEBROFILINA,NA,S, 15.54 , 5.54 ,000099,1,0,+,GENERICOS,30049039,N, 33.00 ,EUROFARMA,0
7896714214115,ACEBROFILINA,5mg xpe fr 120ml inf,ACEBROFILINA - 5mg xpe fr 120ml inf,000223735,0, 12.23 ,16.91, 16.91 ,,ACEBROFILINA,NA,S, 10.99 , 9.66 ,000133,1,0,+,GENERICOS,30049039,N, 38.24 ,NEO QUIMICA,0
7896181924081,ACEBROFILINA,50mg xpe fr 120ml pet,ACEBROFILINA - 50mg xpe fr 120ml pet,000221441,0, 16.79 ,23.24, 23.24 ,,ACEBROFILINA,NA,S, 13.88 , 8.23 ,000030,1,0,+,GENERICOS,30049039,N, 38.24 ,BIOSINTETICA,0
7896006259152,ACEBROFILINA,5mg/ml xpe fr 120ml+ser dos,ACEBROFILINA - 5mg/ml xpe fr 120ml+ser dos,000224132,0, 16.06 ,22.2, 22.2 ,,ACEBROFILINA,NA,S, 14.43 , 12.7 ,000180,1,0,+,GENERICOS,0,S, 38.24 ,UNIAO QUIMICA,0
7896422509251,ACEBROFILINA,5mg xpe fr 120ml+dos,ACEBROFILINA - 5mg xpe fr 120ml+dos,000222016,0, 12.24 ,16.92, 16.92 ,,ACEBROFILINA,NA,S, 11.00 , 5.99 ,000314,1,0,+,GENERICOS,30039049,N, 38.24 ,MEDLEY,0
7898148292745,ACEBROFILINA,5mg/ml xpe fr 120ml+cm,ACEBROFILINA - 5mg/ml xpe fr 120ml+cm,000226112,0, 12.22 ,16.89, 16.89 ,,ACEBROFILINA,NA,S, 10.98 , 9.85 ,000387,1,0,+,GENERICOS,30044090,N, 38.24 ,"PRATI, DONADUZZI",0
7899095233027,ACEBROFILINA,10mg xpe fr 120ml adu,ACEBROFILINA - 10mg xpe fr 120ml adu,000228538,0, 19.24 ,26.59, 26.59 ,,ACEBROFILINA,NA,S, 17.28 , 15.22 ,000437,1,0,+,GENERICOS,0,S, 38.24 ,GEOLAB,0
7899095233034,ACEBROFILINA,5mg xpe fr 120ml ped,ACEBROFILINA - 5mg xpe fr 120ml ped,000228539,0, 13.00 ,17.96, 17.96 ,,ACEBROFILINA,NA,S, 11.67 , 10.28 ,000437,1,0,+,GENERICOS,0,S, 38.24 ,GEOLAB,0
7896006205593,ACEBROFILINA,10mg/ml xpe fr 120ml+cop,ACEBROFILINA - 10mg/ml xpe fr 120ml+cop,000240371,0, 16.15 ,22.33, 22.33 ,,ACEBROFILINA,NA,S, 14.38 , 14.38 ,000180,1,0,+,NENHUM,0,N, -   ,UNIAO QUIMICA,0
7896181924098,ACEBROFILINA,25mg/5ml xpe fr petx120ml,ACEBROFILINA - 25mg/5ml xpe fr petx120ml,000241337,1, 11.88 ,16.41, 16.41 ,,ACEBROFILINA,NA,S, 10.67 , 6.19 ,000030,1,0,+,GENERICOS,30049039,N, 38.24 ,BIOSINTETICA,0
7896523209098,ACEBROFILINA,10mg xpe cx 50x 20ml+50cp emb hosp,ACEBROFILINA - 10mg xpe cx 50x 20ml+50cp emb hosp,000243973,0, 300.00 ,0, -   ,,ACEBROFILINA,NA,S, 300.00 , 300.00 ,000048,1,0,+,NENHUM,0,N, -   ,CIMED,0
7896523209104,ACEBROFILINA,5mg/ml xpe cx 50 fr x 120ml+50cp med emb hosp,ACEBROFILINA - 5mg/ml xpe cx 50 fr x 120ml+50cp med emb hosp,000243974,0, 290.00 ,0, -   ,,ACEBROFILINA,NA,S, 290.00 , 290.00 ,000048,1,0,+,NENHUM,0,N, -   ,CIMED,0
7895296271035,ACEBROFILINA,50mg+5ml xpe fr 120ml+cm,ACEBROFILINA - 50mg+5ml xpe fr 120ml+cm,000235009,0, 16.48 ,22.78, 22.78 ,,ACEBROFILINA,NA,S, 13.8 , 13.8 ,000408,1,0,+,NENHUM,0,S, -   ,NOVA QUIMICA,0
7895296271042,ACEBROFILINA,25mg/5ml xpe fr 120ml+cm,ACEBROFILINA - 25mg/5ml xpe fr 120ml+cm,000235010,0, 11.71 ,16.19, 16.19 ,,ACEBROFILINA,NA,S, 9.8 , 9.8 ,000408,1,0,+,NENHUM,0,S, -   ,NOVA QUIMICA,0
7898148292905,ACEBROFILINA,10mg/ml xpe cx 50 fr x 120ml+50cm emb hosp,ACEBROFILINA - 10mg/ml xpe cx 50 fr x 120ml+50cm emb hosp,000236333,0, 560.54 ,0, -   ,,ACEBROFILINA,NA,S, 469.14 , 469.14 ,000387,1,0,+,NENHUM,0,S, -   ,"PRATI, DONADUZZI",0
7898148292790,ACEBROFILINA,5mg/ml xpe cx 50 fr 120ml+50cm emb hosp,ACEBROFILINA - 5mg/ml xpe cx 50 fr 120ml+50cm emb hosp,000236335,0, 373.66 ,0, -   ,,ACEBROFILINA,NA,S, 312.74 , 312.74 ,000387,1,0,+,NENHUM,0,S, -   ,"PRATI, DONADUZZI",0
7896112159049,ACEBROFILINA,5mg/ml xpe fr 120ml+cm,ACEBROFILINA - 5mg/ml xpe fr 120ml+cm,000237320,0, 12.26 ,16.95, 16.95 ,,ACEBROFILINA,NA,S, 10.26 , 10.26 ,000177,1,0,+,NENHUM,0,S, -   ,TEUTO,0
7896112191537,ACEBROFILINA,10mg xpe fr 120ml+cm,ACEBROFILINA - 10mg xpe fr 120ml+cm,000244568,0, 17.12 ,23.67, 23.67 ,,ACEBROFILINA,NA,S, 17.12 , 17.12 ,000177,1,0,+,NENHUM,0,N, -   ,TEUTO,0
7895296118064,ACECLOFENACO,100mg cx 12 comp,ACECLOFENACO - 100mg cx 12 comp,000236871,0, 18.76 ,25.93, 25.93 ,,ACECLOFENACO,NA,S, 15.5 , 15.5 ,000408,1,0,+,NENHUM,0,S, -   ,NOVA QUIMICA,0
7895296118088,ACECLOFENACO,100mg cx 24 comp,ACECLOFENACO - 100mg cx 24 comp,000236872,0, 35.27 ,48.76, 48.76 ,,ACECLOFENACO,NA,S, 29.15 , 29.15 ,000408,1,0,+,NENHUM,0,S, -   ,NOVA QUIMICA,0
7896004722122,ACECLOFENACO,100mg cx 2bl x 6 comp rev,ACECLOFENACO - 100mg cx 2bl x 6 comp rev,000236913,1, 18.86 ,26.07, 26.07 ,,ACECLOFENACO,NA,S, 15.59 , 6.73 ,000466,1,0,+,GENERICOS,30049099,S, -   ,EMS GENERICO,0
7896004722146,ACECLOFENACO,100mg cx 2bl x 6 comp rev,ACECLOFENACO - 100mg cx 2bl x 6 comp rev,000236897,0, 19.16 ,26.49, 26.49 ,,ACECLOFENACO,NA,S, 17.22 , 7.22 ,000438,1,0,+,GENERICOS,30049099,S, -   ,GENERICOS GERMED,0
7894916144803,ACECLOFENACO,100mg cx 2bl x 6 comp rev,ACECLOFENACO - 100mg cx 2bl x 6 comp rev,000236918,0, 18.09 ,25.01, 25.01 ,,ACECLOFENACO,NA,S, 14.96 , 14.96 ,000462,1,0,+,NENHUM,0,S, -   ,LEGRAND GENERICOS,0
7896004722153,ACECLOFENACO,100mg cx 4bl x 6 comp rev,ACECLOFENACO - 100mg cx 4bl x 6 comp rev,000236898,0, 35.27 ,48.76, 48.76 ,,ACECLOFENACO,NA,S, 29.15 , 29.15 ,000438,1,0,+,NENHUM,0,S, -   ,GENERICOS GERMED,0
7898049795277,ACECLOFENACO,100mg cx 16 comp rev,ACECLOFENACO - 100mg cx 16 comp rev,000244166,0, 27.05 ,37.4, 37.4 ,,ACECLOFENACO,NA,S, 27.05 , 27.05 ,000360,1,0,+,NENHUM,0,N, -   ,VITAPAN,0
7898049795284,ACECLOFENACO,100mg cx 24 comp rev,ACECLOFENACO - 100mg cx 24 comp rev,000244167,0, 40.57 ,56.08, 56.08 ,,ACECLOFENACO,NA,S, 40.57 , 40.57 ,000360,1,0,+,NENHUM,0,N, -   ,VITAPAN,0
7898049795260,ACECLOFENACO,100mg cx 12 comp rev,ACECLOFENACO - 100mg cx 12 comp rev,000243451,0, 20.29 ,28.05, 28.05 ,,ACECLOFENACO,NA,S, 18.84 , 18.84 ,000360,1,0,+,NENHUM,0,N, -   ,VITAPAN,0
7897076909312,ACECLOFENACO,100mg cx 12 comp,ACECLOFENACO - 100mg cx 12 comp,000216934,3, 18.9 ,26.13, 26.13 ,,ACECLOFENACO,NA,S, 16.98 , 7.52 ,000380,1,0,+,GENERICOS,30049039,N, 38.24 ,RANBAXY,1
7896472505883,ACECLOFENACO,100mg cx 12 comp,ACECLOFENACO - 100mg cx 12 comp,000230753,0, 19.17 ,26.5, 26.5 ,,ACECLOFENACO,NA,S, 17.22 , 14.96 ,000419,1,0,+,GENERICOS,0,S, 33.00 ,MULTILAB,0
7897076909343,ACECLOFENACO,100mg cx 24 comp,ACECLOFENACO - 100mg cx 24 comp,000216935,0, 35.34 ,48.85, 48.85 ,,ACECLOFENACO,NA,S, 31.75 , 29.15 ,000380,1,0,+,GENERICOS,30049039,N, 38.24 ,RANBAXY,0
7896004716534,ACECLOFENACO,15mg creme derm bg 30g,ACECLOFENACO - 15mg creme derm bg 30g,000226856,0, 13.94 ,18.54, 18.54 ,,ACECLOFENACO,NA,S, 12.05 , 12.24 ,000466,1,0,-,GENERICOS,30041012,N, 38.24 ,EMS GENERICO,0
7896004716541,ACECLOFENACO,creme bg 30g,ACECLOFENACO - creme bg 30g,000226783,0, 13.94 ,18.54, 18.54 ,,ACECLOFENACO,NA,S, 12.05 , 6.61 ,000438,1,0,-,GENERICOS,30049099,N, 33.00 ,GENERICOS GERMED,0
7896004722726,ACECLO-GRAN,100mg cx 12 comp rev,ACECLO-GRAN - 100mg cx 12 comp rev,000237289,0, 18.09 ,25.01, 25.01 ,,ACECLOFENACO,NA,N, 21.26 , 14.96 ,000550,1,0,+,NENHUM,0,S, -   ,LEGRAND TARJADOS,0
7893454300115,ACERATUM,sol fr 10ml,ACERATUM - sol fr 10ml,000120170,0, 10.94 ,14.55, 14.55 ,,PEROXIDO DE CARBAMIDA,NA,N, 12.37 , -   ,000058,1,0,-,NENHUM,0,S, -   ,DELTA,0
7896622303642,ACEROGRIP C,1g tb 10 comp efv,ACEROGRIP C - 1g tb 10 comp efv,000222805,0, 41.79 ,55.58, 55.58 ,,ACIDO ASCORBICO,NA,N, 47.24 , -   ,000133,1,0,-,NENHUM,0,S, 33.00 ,NEO QUIMICA,0
7896714241821,ACETATO CIPROTERONA+ETINILESTRADIOL,"2,0+0,035mg cx 21 comp rev","ACETATO CIPROTERONA+ETINILESTRADIOL - 2,0+0,035mg cx 21 comp rev",000240862,0, 11.2 ,15.48, 15.48 ,,ACETATO CIPROTERONA+ETINILESTRADIOL,NA,S, 9.96 , 9.96 ,000133,1,0,+,NENHUM,0,N, -   ,NEO QUIMICA,0
7898149934514,ACETATO DE CIPROTERONA,50mg cx 20 comp,ACETATO DE CIPROTERONA - 50mg cx 20 comp,000235190,0, 66.25 ,91.58, 91.58 ,,ACETATO DE CIPROTERONA,NA,S, 59.53 , 49.42 ,000024,1,0,+,GENERICOS,0,S, 38.24 ,BERGAMO,0
7898907313858,ACETATO DE CIPROTERONA+ETINILESTRADIOL,"2,0+0,035mg cx 21 comp rev","ACETATO DE CIPROTERONA+ETINILESTRADIOL - 2,0+0,035mg cx 21 comp rev",000240385,0, 11.21 ,15.49, 15.49 ,,ACETATO DE CIPROTERONA+ETINILESTRADIOL,NA,S, 9.96 , 9.96 ,000545,1,0,+,NENHUM,0,N, -   ,MELCON,0
7898907313872,ACETATO DE CIPROTERONA+ETINILESTRADIOL,"2,0+0,035mg cx 63 comp rev","ACETATO DE CIPROTERONA+ETINILESTRADIOL - 2,0+0,035mg cx 63 comp rev",000240386,0, 23.86 ,32.99, 32.99 ,,ACETATO DE CIPROTERONA+ETINILESTRADIOL,NA,S, 21.23 , 21.23 ,000545,1,0,+,NENHUM,0,N, -   ,MELCON,0
7898149934910,ACETATO DE DESMOPRESSINA,"0,1mg/ml sol nas fa x 2,5 ml","ACETATO DE DESMOPRESSINA - 0,1mg/ml sol nas fa x 2,5 ml",000238401,0, 112.7 ,155.79, 155.79 ,,ACETATO DE DESMOPRESSINA,NA,S, 101.26 , 100.18 ,000024,1,0,+,GENERICOS, ,S, 38.24 ,BERGAMO,0
7896006267010,ACETATO DE DEXAMETASONA,1mg creme derm bg 10g,ACETATO DE DEXAMETASONA - 1mg creme derm bg 10g,000225478,0, 4.84 ,6.68, 6.68 ,,ACETATO DE DEXAMETASONA,NA,S, 4.34 , 3.78 ,000180,1,0,+,GENERICOS,0,S, 38.24 ,UNIAO QUIMICA,0
